State,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999
Alabama,3115600,3119100,3121800,3131400,3129100,3136100,3145700,3129700,3133000,3121200,3108700,3108010,3107320,3106630,3105940,3105250,3104560,3103870,3103180,3102490
Alaska,426100,433000,439200,435400,437700,441000,446300,441500,439300,434000,433100,433800,434500,435200,435900,436600,437300,438000,438700,439400
Arizona,3815100,3761600,3754900,3714900,3696900,3675000,3651000,3634700,3628600,3702000,3704300,3693220,3682140,3671060,3659980,3648900,3637820,3626740,3615660,3604580
Arkansas,2110400,2109200,2114900,2106000,2119500,2116100,2122600,2122800,2113800,2101100,2096900,2095550,2094200,2092850,2091500,2090150,2088800,2087450,2086100,2084750
California,14206900,14305700,14418700,14503600,14533900,14572300,14578700,14577300,14600800,14957800,15080500,15167860,15255220,15342580,15429940,15517300,15604660,15692020,15779380,15866740
Colorado,3774700,3727100,3708800,3646600,3600200,3558300,3517600,3482600,3452800,3456700,3422900,3387720,3352540,3317360,3282180,3247000,3211820,3176640,3141460,3106280
Connecticut,2298100,2320900,2342200,2366300,2394300,2419300,2440900,2455800,2467300,2485400,2498400,2518430,2538460,2558490,2578520,2598550,2618580,2638610,2658640,2678670
Delaware,582600,583100,581900,580400,578400,577900,572800,575000,572100,578700,571900,570830,569760,568690,567620,566550,565480,564410,563340,562270
District of Columbia,244800,236500,231400,225000,220500,214500,207600,2.00E+05,191200,180200,176700,169890,163080,156270,149460,142650,135840,129030,122220,115410
Florida,11101600,11058700,11017500,10934500,10815800,10748400,10737900,10693800,10650200,10731700,10772300,10739370,10706440,10673510,10640580,10607650,10574720,10541790,10508860,10475930
Georgia,5358000,5349500,5339500,5346500,5334800,5316200,5320600,5302500,5276300,5465500,5466500,5477350,5488200,5499050,5509900,5520750,5531600,5542450,5553300,5564150
Hawaii,278500,280000,287900,295700,291900,289000,288800,286600,282400,290900,290100,291260,292420,293580,294740,295900,297060,298220,299380,300540
Idaho,1407600,1381400,1362500,1339100,1325000,1317000,1305400,1297600,1295400,1274600,1259500,1244690,1229880,1215070,1200260,1185450,1170640,1155830,1141020,1126210
Illinois,7588300,7664800,7719800,7770700,7834100,7898400,7915300,7939200,7988000,8092800,8094900,8145560,8196220,8246880,8297540,8348200,8398860,8449520,8500180,8550840
Indiana,5121300,5127000,5129200,5141100,5138400,5138600,5142300,5144100,5136600,5149600,5143900,5146160,5148420,5150680,5152940,5155200,5157460,5159720,5161980,5164240
Iowa,2614600,2616900,2623500,2625300,2620800,2619700,2622600,2625700,2616800,2614000,2609000,2608440,2607880,2607320,2606760,2606200,2605640,2605080,2604520,2603960
Kansas,2137700,2145200,2154300,2155100,2164000,2162900,2167400,2162200,2161600,2176900,2172500,2175980,2179460,2182940,2186420,2189900,2193380,2196860,2200340,2203820
Kentucky,3664300,3655800,3652100,3662100,3660900,3664400,3653900,3651500,3653400,3653600,3649900,3648460,3647020,3645580,3644140,3642700,3641260,3639820,3638380,3636940
Louisiana,2658300,2669900,2689200,2692200,2686700,2684600,2678500,2679200,2670900,2682400,2658000,2657970,2657940,2657910,2657880,2657850,2657820,2657790,2657760,2657730
Maine,1213400,1218000,1210500,1211100,1213700,1215800,1218200,1221000,1221200,1202700,1215200,1215380,1215560,1215740,1215920,1216100,1216280,1216460,1216640,1216820
Maryland,2953400,2988800,3010100,3032100,3053700,3067400,3084300,3077300,3078800,3139900,3143000,3161960,3180920,3199880,3218840,3237800,3256760,3275720,3294680,3313640
Massachusetts,4717100,4746900,4771800,4792000,4811900,4828400,4830400,4829700,4834300,4979700,4932400,4953930,4975460,4996990,5018520,5040050,5061580,5083110,5104640,5126170
Michigan,7327100,7322500,7330200,7341600,7358500,7363300,7383900,7393300,7410900,7540000,7594800,7621570,7648340,7675110,7701880,7728650,7755420,7782190,7808960,7835730
Minnesota,4370100,4358900,4352400,4350500,4342500,4334600,4332800,4328600,4317200,4354200,4326700,4322360,4318020,4313680,4309340,4305000,4300660,4296320,4291980,4287640
Mississippi,1633600,1642100,1651000,1655400,1664000,1664000,1669200,1671900,1673000,1663900,1661000,1663740,1666480,1669220,1671960,1674700,1677440,1680180,1682920,1685660
Missouri,4719400,4716400,4708400,4723300,4705300,4719900,4717300,4719700,4712800,4761500,4729200,4730180,4731160,4732140,4733120,4734100,4735080,4736060,4737040,4738020
Montana,890100,884600,879200,873900,864300,861800,853800,851200,847300,826400,824400,817830,811260,804690,798120,791550,784980,778410,771840,765270
Nebraska,1470100,1472600,1475200,1475100,1470000,1465800,1463200,1460300,1458500,1443200,1442000,1439190,1436380,1433570,1430760,1427950,1425140,1422330,1419520,1416710
Nevada,1447500,1441400,1441300,1437900,1435800,1432400,1434800,1431200,1433600,1445900,1447500,1447500,1447500,1447500,1447500,1447500,1447500,1447500,1447500,1447500
New Hampshire,1181500,1175300,1175900,1175700,1174900,1174500,1176100,1177800,1175500,1191000,1185300,1185680,1186060,1186440,1186820,1187200,1187580,1187960,1188340,1188720
New Jersey,4776900,4851700,4883400,4933200,4969400,5011800,5044400,5074800,5119000,5200000,5240200,5286530,5332860,5379190,5425520,5471850,5518180,5564510,5610840,5657170
New Mexico,754700,760000,769600,780300,788200,803000,812200,817500,817900,804300,803100,807940,812780,817620,822460,827300,832140,836980,841820,846660
New York,10508500,10652400,10683700,10771000,10836700,10889900,10922400,10958200,10977600,11340600,11360200,11445370,11530540,11615710,11700880,11786050,11871220,11956390,12041560,12126730
North Carolina,6314100,6279300,6255500,6213600,6178500,6141200,6107600,6087000,6042600,6041200,5975700,5941860,5908020,5874180,5840340,5806500,5772660,5738820,5704980,5671140
North Dakota,613100,614500,619700,626300,616200,606300,593700,582700,577700,548500,550200,543910,537620,531330,525040,518750,512460,506170,499880,493590
Ohio,8947700,8964000,8975800,9026200,9045100,9063000,9073800,9115300,9121200,9226200,9210900,9237220,9263540,9289860,9316180,9342500,9368820,9395140,9421460,9447780
Oklahoma,2492200,2507400,2520400,2524700,2518200,2521400,2510800,2507900,2500900,2517600,2507300,2508810,2510320,2511830,2513340,2514850,2516360,2517870,2519380,2520890
Oregon,3091900,3079800,3064300,3029100,2996700,2985100,2975500,2959400,2954400,2979700,2963100,2950220,2937340,2924460,2911580,2898700,2885820,2872940,2860060,2847180
Pennsylvania,9447800,9498700,9553800,9614500,9659000,9704800,9760800,9791700,9805100,9856300,9799700,9834890,9870080,9905270,9940460,9975650,10010840,10046030,10081220,10116410
Rhode Island,725400,733300,737600,743500,751600,751900,759200,766700,771200,788000,793100,799870,806640,813410,820180,826950,833720,840490,847260,854030
South Carolina,3146900,3111700,3075500,3031800,2995500,2964300,2937500,2902500,2883300,2860400,2819300,2786540,2753780,2721020,2688260,2655500,2622740,2589980,2557220,2524460
South Dakota,692900,690400,691500,686800,686400,678900,672600,669800,669200,666700,662700,659680,656660,653640,650620,647600,644580,641560,638540,635520
Tennessee,4860100,4847000,4814000,4782000,4766200,4741900,4728400,4712300,4689100,4691800,4662800,4643070,4623340,4603610,4583880,4564150,4544420,4524690,4504960,4485230
Texas,11607500,11559700,11555500,11500100,11417900,11329100,11265800,11185300,11107500,11235700,11213000,11173550,11134100,11094650,11055200,11015750,10976300,10936850,10897400,10857950
Utah,2421400,2392300,2361900,2326300,2296400,2267600,2240100,2215000,2190500,2217800,2202100,2180170,2158240,2136310,2114380,2092450,2070520,2048590,2026660,2004730
Vermont,557900,559000,560600,563900,560600,567200,566700,566100,566500,568400,569600,570770,571940,573110,574280,575450,576620,577790,578960,580130
Virginia,5034100,5039200,5035700,5053300,5052100,5067700,5047300,5025800,5001400,4985000,4973600,4967550,4961500,4955450,4949400,4943350,4937300,4931250,4925200,4919150
Washington,5006200,4976100,4949000,4892000,4844800,4827300,4827200,4795000,4778300,4835700,4795600,4774540,4753480,4732420,4711360,4690300,4669240,4648180,4627120,4606060
West Virginia,1620000,1631600,1646900,1662300,1665200,1676500,1680700,1686800,1683100,1657000,1654600,1658060,1661520,1664980,1668440,1671900,1675360,1678820,1682280,1685740
Wisconsin,4598500,4600500,4605200,4613000,4618400,4620800,4625000,4623500,4622200,4655100,4658700,4664720,4670740,4676760,4682780,4688800,4694820,4700840,4706860,4712880
Wyoming,471600,474400,482500,479400,479100,482300,474000,473500,472000,454000,446500,443990,441480,438970,436460,433950,431440,428930,426420,423910
Puerto Rico,30000,23000,35300,26500,22300,21500,22900,25600,27600,36400,27400,27140,26880,26620,26360,26100,25840,25580,25320,25060
,,,,,,,,,,,,,,,,,,,,
Notes,,,,,,,,,,,,,,,,,,,,
"Population and demographic data on are based on analysis of the Census Bureau’s American Community Survey (ACS) and may differ from other population estimates published yearly by the Census Bureau. U.S. and state population data displayed on this site are restricted to the civilian, non-institutionalized population for whom ACS collects and reports poverty information. ",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Population numbers are rounded to the nearest 100.,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Sources,,,,,,,,,,,,,,,,,,,,
"Kaiser Family Foundation estimates based on the Census Bureau's American Community Survey, 2008-2018.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Definitions,,,,,,,,,,,,,,,,,,,,
*N/A*: Estimates with relative standard errors greater than 30% are not provided.,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Persons of Hispanic origin may be of any race; all other racial/ethnic groups are non-Hispanic.,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Footnotes,,,,,,,,,,,,,,,,,,,,
1. US total excludes Puerto Rico.,,,,,,,,,,,,,,,,,,,,
